image_id x_1 y_1 width height
000001.jpg 95 71 226 313
000404.jpg 119 66 99 137
003415.jpg 83 64 112 155
004390.jpg 148 46 138 191
018062.jpg 77 97 153 212
025244.jpg 122 81 166 230
027771.jpg 231 59 200 277
039393.jpg 512 209 452 626
047978.jpg 126 85 299 414
049142.jpg 592 580 874 1210
052385.jpg 61 75 166 230
052623.jpg 310 19 559 774
053184.jpg 153 48 109 151
053311.jpg 97 68 185 256
055834.jpg 181 96 140 194
058188.jpg 227 124 130 180
061431.jpg 125 95 164 227
068154.jpg 381 84 533 738
084705.jpg 190 148 276 382
090937.jpg 223 154 294 407
096324.jpg 108 83 133 184
100990.jpg 91 60 130 180
103728.jpg 57 51 224 310
108341.jpg 81 65 192 266
110376.jpg 511 206 455 630
122439.jpg 190 121 234 324
131731.jpg 185 61 211 292
134007.jpg 728 382 497 688
139106.jpg 193 117 234 324
140935.jpg 123 83 164 227
000002.jpg 72 94 221 306
011437.jpg 209 147 299 414
016335.jpg 259 285 429 594
017121.jpg 161 51 91 126
024291.jpg 56 80 125 173
037082.jpg 127 87 133 184
045318.jpg 412 228 299 414
046844.jpg 178 115 211 292
048360.jpg 298 209 185 256
055891.jpg 612 78 666 922
057357.jpg 196 153 244 338
058209.jpg 580 29 767 1062
058400.jpg 139 210 307 425
059638.jpg 580 29 767 1062
060925.jpg 426 159 177 245
063242.jpg 206 58 478 662
063616.jpg 103 72 179 248
066809.jpg 1414 122 250 346
077346.jpg 128 23 151 209
095867.jpg 204 199 265 367
099877.jpg 641 142 234 324
105287.jpg 900 176 213 295
108661.jpg 123 182 325 450
114336.jpg 68 130 242 335
114625.jpg 278 94 130 180
117710.jpg 142 56 169 234
120280.jpg 165 76 148 205
125140.jpg 475 125 213 295
142601.jpg 197 89 299 414
152380.jpg 325 34 309 428
000003.jpg 216 59 91 126
015648.jpg 63 55 153 212
033840.jpg 135 31 125 173
038887.jpg 115 26 65 90
049972.jpg 176 53 133 184
052374.jpg 121 56 107 148
053297.jpg 107 74 239 331
061069.jpg 144 78 161 223
069458.jpg 51 42 78 108
070480.jpg 183 19 177 245
073665.jpg 304 177 507 702
074691.jpg 95 71 169 234
074908.jpg 283 59 138 191
079723.jpg 274 51 125 173
084418.jpg 319 78 156 216
086208.jpg 127 36 109 151
087940.jpg 802 301 484 670
092115.jpg 173 38 153 212
101759.jpg 352 58 146 202
102191.jpg 161 59 203 281
106611.jpg 9 24 247 342
133005.jpg 284 39 83 115
134209.jpg 99 57 276 382
134272.jpg 131 73 372 515
134680.jpg 265 54 114 158
138523.jpg 93 31 68 94
140747.jpg 54 134 205 284
148651.jpg 68 52 122 169
153310.jpg 154 96 400 554
154306.jpg 62 37 75 104
000004.jpg 622 257 564 781
001778.jpg 470 165 302 418
010191.jpg 428 510 489 677
013676.jpg 267 194 798 1105
027057.jpg 792 82 338 468
027559.jpg 232 60 281 389
029583.jpg 348 273 512 709
030445.jpg 389 267 538 745
032973.jpg 201 166 122 169
041166.jpg 309 412 338 468
049165.jpg 423 32 190 263
057460.jpg 250 86 335 464
068650.jpg 300 216 499 691
071572.jpg 170 110 198 274
075317.jpg 328 297 764 1058
079295.jpg 276 161 356 493
082762.jpg 366 344 390 540
083588.jpg 101 89 185 256
091248.jpg 764 159 429 594
103561.jpg 305 196 608 842
107943.jpg 391 367 502 695
108897.jpg 275 257 169 234
113983.jpg 346 299 580 803
130481.jpg 719 13 208 288
136792.jpg 824 448 497 688
139398.jpg 172 289 647 896
140829.jpg 270 205 276 382
144460.jpg 241 56 182 252
144685.jpg 70 47 70 97
152700.jpg 183 130 343 475
000005.jpg 236 109 120 166
008431.jpg 217 134 161 223
014427.jpg 158 76 96 133
016680.jpg 79 34 130 180
026162.jpg 169 36 122 169
034914.jpg 144 33 73 101
044956.jpg 140 101 156 216
064640.jpg 174 7 127 176
066448.jpg 1 83 81 112
068314.jpg 123 54 114 158
079936.jpg 103 46 86 119
088186.jpg 123 29 117 162
104605.jpg 242 19 112 155
107703.jpg 81 101 135 187
109114.jpg 173 109 164 227
112650.jpg 96 64 70 97
115580.jpg 719 205 952 1318
116090.jpg 26 55 148 205
120055.jpg 101 22 122 169
129529.jpg 27 71 130 180
135601.jpg 479 68 99 137
136013.jpg 201 83 166 230
157998.jpg 81 64 117 162
